Team,Season,GP,W,L,T,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Game Type
Boston Bruins,20232024,13,6,7,--,12,0.462,5,6,0,31,31,2.38,2.38,21.2,85.7,18.2,85.7,24.8,32.2,46.6,Playoffs
Carolina Hurricanes,20232024,11,6,5,--,12,0.545,6,6,0,38,32,3.45,2.91,19.4,73.3,13.9,73.3,35.7,26.6,50.6,Playoffs
Colorado Avalanche,20232024,11,6,5,--,12,0.545,5,6,0,43,37,3.91,3.36,36.7,73.3,30,76.7,32.1,28.6,46,Playoffs
Dallas Stars,20232024,19,10,9,--,20,0.526,8,10,0,52,48,2.74,2.53,20,67.6,15.6,73,27.9,27.3,52.2,Playoffs
Edmonton Oilers,20232024,25,15,10,--,30,0.6,13,15,0,86,65,3.44,2.6,29.3,94.3,29.3,98.6,28.4,25.1,47.3,Playoffs
Florida Panthers,20232024,24,16,8,--,32,0.667,14,16,0,73,62,3.04,2.58,18.5,88,12.4,90.7,30.9,25.3,51.1,Playoffs
Los Angeles Kings,20232024,5,1,4,--,2,0.2,0,1,0,13,22,2.6,4.4,0,55,0,55,29,31,49.3,Playoffs
Nashville Predators,20232024,6,2,4,--,4,0.333,2,2,0,12,13,2,2.17,9.1,84.6,9.1,84.6,25,20.2,49.9,Playoffs
New York Islanders,20232024,5,1,4,--,2,0.2,0,1,0,12,19,2.4,3.8,27.3,66.7,27.3,66.7,27.2,33.8,49.8,Playoffs
New York Rangers,20232024,16,10,6,--,20,0.625,6,10,0,47,42,2.94,2.63,24,84.2,24,94.7,25.8,32.9,50.8,Playoffs
Tampa Bay Lightning,20232024,5,1,4,--,2,0.2,1,1,0,14,20,2.8,4,20,76.9,15,84.6,27,32,49,Playoffs
Toronto Maple Leafs,20232024,7,3,4,--,6,0.429,2,3,0,12,18,1.71,2.57,4.8,64.7,4.8,64.7,30.7,27.6,56.2,Playoffs
Vancouver Canucks,20232024,13,7,6,--,14,0.538,6,7,0,33,36,2.54,2.77,13.9,81,13.9,81,20.8,27.2,53.1,Playoffs
Vegas Golden Knights,20232024,7,3,4,--,6,0.429,3,3,0,16,16,2.29,2.29,25,71.4,25,78.6,27,28.6,48.5,Playoffs
Washington Capitals,20232024,4,0,4,--,0,0,0,0,0,7,15,1.75,3.75,11.8,62.5,0,62.5,25.3,26,44.5,Playoffs
Winnipeg Jets,20232024,5,1,4,--,2,0.2,1,1,0,15,28,3,5.6,23.1,62.5,15.4,62.5,28,37,55.6,Playoffs
