Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Noel Acciari,20232024,PIT,R,C,55,4,3,7,-7,10,0.13,4,7,0,0,0,0,0,1,59,6.8,12:58,54.5,1991-12-01,Johnston,RI,USA,USA,71,209,--,--,--,20152016,N,Regular Season
Calen Addison,20232024,"MIN,SJS",R,D,72,1,16,17,-38,72,0.24,1,8,0,9,0,0,0,0,93,1.1,17:16,--,2000-04-11,Brandon,MB,CAN,CAN,71,173,2018,2,53,20202021,N,Regular Season
Egor Afanasyev,20232024,NSH,L,L,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,5,0,13:00,--,2001-01-23,Tver,--,RUS,RUS,76,211,2019,2,45,20222023,N,Regular Season
Sebastian Aho,20232024,CAR,L,C,78,36,53,89,34,36,1.14,24,55,11,32,1,2,2,10,216,16.7,19:38,54.1,1997-07-26,Rauma,--,FIN,FIN,72,180,2015,2,35,20162017,N,Regular Season
Sebastian Aho,20232024,NYI,L,D,58,2,7,9,-7,12,0.16,2,7,0,2,0,0,0,0,48,4.2,16:23,--,1996-02-17,Umea,--,SWE,SWE,70,176,2017,5,139,20172018,N,Regular Season
Nikita Alexandrov,20232024,STL,L,C,23,0,2,2,-4,4,0.09,0,2,0,0,0,0,0,0,15,0,8:32,40.7,2000-09-16,Burgwedel,--,DEU,RUS,73,177,2019,2,62,20222023,N,Regular Season
Alexander Alexeyev,20232024,WSH,L,D,39,1,2,3,-8,6,0.08,1,3,0,0,0,0,0,0,20,5,13:42,--,1999-11-15,St. Petersburg,--,RUS,RUS,76,213,2018,1,31,20212022,N,Regular Season
Michael Amadio,20232024,VGK,R,R,73,14,13,27,4,16,0.37,11,22,3,5,0,0,0,2,117,12,13:24,51.5,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,199,2014,3,90,20172018,N,Regular Season
Nils Aman,20232024,VAN,L,C,43,3,4,7,-3,8,0.16,3,7,0,0,0,0,0,0,28,10.7,10:20,45.6,2000-02-07,Avesta,--,SWE,SWE,74,179,2020,6,167,20222023,N,Regular Season
Joey Anderson,20232024,CHI,R,R,55,5,12,17,5,8,0.31,5,17,0,0,0,0,0,0,57,8.8,13:33,0,1998-06-19,Roseville,MN,USA,USA,72,207,2016,3,73,20182019,N,Regular Season
Josh Anderson,20232024,MTL,R,R,78,9,11,20,-18,74,0.26,9,18,0,2,0,0,0,0,141,6.4,15:28,48.4,1994-05-07,Burlington,ON,CAN,CAN,75,226,2012,4,95,20142015,N,Regular Season
Mikey Anderson,20232024,LAK,L,D,74,2,16,18,22,18,0.24,2,17,0,0,0,1,0,0,89,2.3,20:38,--,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20192020,N,Regular Season
Jaret Anderson-Dolan,20232024,"LAK,NSH",L,C,31,1,3,4,-5,6,0.13,0,3,0,0,1,1,0,0,31,3.2,11:03,41.7,1999-09-12,Calgary,AB,CAN,CAN,71,200,2017,2,41,20182019,N,Regular Season
Rasmus Andersson,20232024,CGY,R,D,78,9,30,39,-11,47,0.5,8,30,0,8,1,1,1,3,159,5.7,23:50,--,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,Regular Season
