Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Noel Acciari,20222023,TOR,R,C,11,2,0,2,-3,2,0.18,2,2,0,0,0,0,0,0,7,28.6,14:57,50,1991-12-01,Johnston,RI,USA,USA,71,209,--,--,--,20162017,N,Playoffs
Sebastian Aho,20222023,CAR,L,C,15,5,7,12,6,12,0.8,4,9,1,3,0,0,0,1,42,11.9,20:27,47.4,1997-07-26,Rauma,--,FIN,FIN,72,180,2015,2,35,20182019,N,Playoffs
Sebastian Aho,20222023,NYI,L,D,6,0,1,1,0,2,0.17,0,0,0,1,0,0,0,0,5,0,15:48,--,1996-02-17,Umea,--,SWE,SWE,70,176,2017,5,139,20222023,N,Playoffs
Michael Amadio,20222023,VGK,R,R,16,5,5,10,8,4,0.63,5,9,0,1,0,0,1,1,19,26.3,12:06,70,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,199,2014,3,90,20172018,N,Playoffs
Mikey Anderson,20222023,LAK,L,D,6,0,1,1,-4,2,0.17,0,1,0,0,0,0,0,0,6,0,22:35,--,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20212022,N,Playoffs
Jaret Anderson-Dolan,20222023,LAK,L,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7:28,33.3,1999-09-12,Calgary,AB,CAN,CAN,71,200,2017,2,41,20222023,N,Playoffs
Mason Appleton,20222023,WPG,R,C,5,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,8,0,18:11,--,1996-01-15,Green Bay,WI,USA,USA,74,194,2015,6,168,20192020,N,Playoffs
Viktor Arvidsson,20222023,LAK,R,L,6,1,6,7,-2,2,1.17,1,2,0,5,0,0,0,0,22,4.6,20:07,42.9,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20152016,N,Playoffs
Zach Aston-Reese,20222023,TOR,L,C,6,1,0,1,-2,0,0.17,1,1,0,0,0,0,0,0,4,25,8:53,--,1994-08-10,Staten Island,NY,USA,USA,73,200,--,--,--,20172018,N,Playoffs
Kevin Bahl,20222023,NJD,L,D,11,0,1,1,-1,31,0.09,0,1,0,0,0,0,0,0,9,0,13:31,--,2000-06-27,New Westminster,BC,CAN,CAN,78,230,2018,2,55,20222023,N,Playoffs
