Player,Season,Team,S/C,GP,GS,W,L,T,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Jordan Binnington,20212022,STL,L,6,6,4,1,--,176,167,9,0.949,1.72,314:47,0,0,0,0,0,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,3,88,20182019,N,Playoffs
Sergei Bobrovsky,20212022,FLA,L,10,10,4,6,--,303,276,27,0.911,2.7,600:18,0,0,0,0,2,1988-09-20,Novokuznetsk,--,RUS,RUS,74,180,--,--,--,20102011,N,Playoffs
Jack Campbell,20212022,TOR,L,7,7,3,4,--,203,182,21,0.897,3.15,400:15,1,0,0,0,0,1992-01-09,Port Huron,MI,USA,USA,75,200,2010,1,11,20202021,N,Playoffs
Casey DeSmith,20212022,PIT,L,1,1,0,0,--,51,48,3,0.941,2.02,89:07,0,0,0,0,0,1991-08-13,Rochester,NH,USA,USA,72,180,--,--,--,20212022,N,Playoffs
Louis Domingue,20212022,PIT,R,6,5,3,3,--,187,168,19,0.898,3.65,312:01,0,0,1,1,0,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,207,2010,5,138,20172018,N,Playoffs
Marc-Andre Fleury,20212022,MIN,L,5,5,2,3,--,159,144,15,0.906,3.04,296:28,0,0,0,0,0,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,1,1,20062007,N,Playoffs
Pavel Francouz,20212022,COL,R,7,4,6,0,--,171,155,16,0.906,2.81,341:11,1,0,0,0,0,1990-06-03,Plzen,--,CZE,CZE,72,179,--,--,--,20192020,N,Playoffs
Alexandar Georgiev,20212022,NYR,L,2,0,0,1,--,31,29,2,0.935,2.04,58:57,0,0,0,0,0,1996-02-10,Ruse,--,BGR,RUS,73,178,--,--,--,20212022,N,Playoffs
Ville Husso,20212022,STL,L,7,6,2,5,--,228,203,25,0.89,3.67,409:16,1,0,0,0,0,1995-02-06,Helsinki,--,FIN,FIN,75,205,2014,4,94,20212022,N,Playoffs
Connor Ingram,20212022,NSH,L,4,3,0,3,--,161,147,14,0.913,3.64,230:51,0,0,0,0,0,1997-03-31,Saskatoon,SK,CAN,CAN,73,218,2016,3,88,20212022,N,Playoffs
Tristan Jarry,20212022,PIT,L,1,1,0,1,--,30,26,4,0.867,3.71,64:46,0,0,0,0,0,1995-04-29,Surrey,BC,CAN,CAN,74,195,2013,2,44,20192020,N,Playoffs
Erik Kallgren,20212022,TOR,L,1,0,0,0,--,10,10,0,1,0,30:46,0,0,0,0,0,1996-10-14,Stockholm,--,SWE,SWE,75,200,2015,7,183,20212022,N,Playoffs
Pyotr Kochetkov,20212022,CAR,L,4,1,1,2,--,84,73,11,0.869,3.89,169:34,0,0,0,0,2,1999-06-25,Penza,--,RUS,RUS,75,193,2019,2,36,20212022,N,Playoffs
Mikko Koskinen,20212022,EDM,L,3,0,0,2,--,58,52,6,0.897,4.02,89:29,0,0,0,0,0,1988-07-18,Vantaa,--,FIN,FIN,79,202,2009,2,31,20192020,N,Playoffs
Darcy Kuemper,20212022,COL,L,16,16,10,4,--,386,348,38,0.902,2.57,886:53,1,0,1,1,2,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,6,161,20122013,N,Playoffs
Jacob Markstrom,20212022,CGY,L,12,12,5,7,--,354,319,35,0.901,2.95,712:27,1,0,1,1,0,1990-01-31,Gavle,--,SWE,SWE,78,207,2008,2,31,20192020,N,Playoffs
Jake Oettinger,20212022,DAL,L,7,7,3,4,--,285,272,13,0.954,1.81,429:49,1,0,0,0,0,1998-12-18,Lakeville,MN,USA,USA,78,224,2017,1,26,20192020,N,Playoffs
Cal Petersen,20212022,LAK,R,1,0,0,0,--,20,16,4,0.8,7.45,32:14,0,0,0,0,0,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,5,129,20212022,N,Playoffs
Jonathan Quick,20212022,LAK,L,7,7,3,4,--,228,206,22,0.904,3.43,384:45,1,0,0,0,0,1986-01-21,Milford,CT,USA,USA,73,220,2005,3,72,20092010,N,Playoffs
Antti Raanta,20212022,CAR,L,13,13,6,5,--,322,297,25,0.922,2.26,663:25,1,0,0,0,0,1989-05-12,Rauma,--,FIN,FIN,72,195,--,--,--,20152016,N,Playoffs
David Rittich,20212022,NSH,L,1,1,0,1,--,13,8,5,0.615,19.91,15:04,0,0,0,0,0,1992-08-19,Jihlava,--,CZE,CZE,76,205,--,--,--,20192020,N,Playoffs
Ilya Samsonov,20212022,WSH,L,5,4,1,3,--,148,135,13,0.912,2.97,262:54,0,0,0,0,0,1997-02-22,Magnitogorsk,--,RUS,RUS,75,208,2015,1,22,20202021,N,Playoffs
Igor Shesterkin,20212022,NYR,L,20,20,10,9,--,720,669,51,0.929,2.59,1181:34,0,0,3,3,2,1995-12-30,Moscow,--,RUS,RUS,73,195,2014,4,118,20192020,N,Playoffs
Mike Smith,20212022,EDM,L,16,16,8,6,--,560,511,49,0.913,3.37,872:15,2,0,1,1,2,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,5,161,20102011,N,Playoffs
Jeremy Swayman,20212022,BOS,L,5,5,3,2,--,146,133,13,0.911,2.63,296:07,0,0,0,0,0,1998-11-24,Anchorage,AK,USA,USA,75,195,2017,4,111,20202021,N,Playoffs
Cam Talbot,20212022,MIN,L,1,1,0,1,--,26,22,4,0.846,4.15,57:53,0,0,0,0,0,1987-07-05,Caledonia,ON,CAN,CAN,76,200,--,--,--,20132014,N,Playoffs
Linus Ullmark,20212022,BOS,L,2,2,0,2,--,57,49,8,0.86,4.16,115:15,0,0,0,0,0,1993-07-31,Lugnvik,--,SWE,SWE,76,215,2012,6,163,20212022,N,Playoffs
Vitek Vanecek,20212022,WSH,L,2,2,1,1,--,51,44,7,0.863,4.21,99:49,0,0,0,0,2,1996-01-09,Havlickuv Brod,--,CZE,CZE,74,184,2014,2,39,20202021,N,Playoffs
Andrei Vasilevskiy,20212022,TBL,L,23,23,14,9,--,752,693,59,0.922,2.52,1402:42,1,0,0,0,0,1994-07-25,Tyumen,--,RUS,RUS,76,228,2012,1,19,20142015,N,Playoffs
Dan Vladar,20212022,CGY,L,1,0,0,0,--,7,7,0,1,0,19:56,0,0,0,0,0,1997-08-20,Prague,--,CZE,CZE,77,209,2015,3,75,20192020,N,Playoffs
