Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Sebastian Aho,20242025,CAR,L,C,15,7,8,15,3,8,1,4,8,3,7,0,0,1,1,41,17.1,20:48,54.3,1997-07-26,Rauma,--,FIN,FIN,72,189,2015,2,35,20182019,N,Playoffs
Alexander Alexeyev,20242025,WSH,L,D,10,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,6,--,10:25,--,1999-11-15,St. Petersburg,--,RUS,RUS,76,230,2018,1,31,20232024,N,Playoffs
Michael Amadio,20242025,OTT,R,R,6,0,1,1,-2,2,0.17,0,1,0,0,0,0,0,0,5,--,16:32,100,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,206,2014,3,90,20172018,N,Playoffs
Josh Anderson,20242025,MTL,R,R,5,0,1,1,-2,20,0.2,0,1,0,0,0,0,0,0,11,--,13:53,25,1994-05-07,Burlington,ON,CAN,CAN,75,226,2012,4,95,20162017,N,Playoffs
Mikey Anderson,20242025,LAK,L,D,6,0,1,1,-4,2,0.17,0,1,0,0,0,0,0,0,4,--,25:25,--,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20212022,N,Playoffs
Jaret Anderson-Dolan,20242025,WPG,L,C,5,1,1,2,-1,2,0.4,1,2,0,0,0,0,0,0,3,33.3,8:20,100,1999-09-12,Calgary,AB,CAN,CAN,71,200,2017,2,41,20222023,N,Playoffs
Mason Appleton,20242025,WPG,R,C,13,0,7,7,5,14,0.54,0,5,0,2,0,0,0,0,16,--,14:51,33.3,1996-01-15,Green Bay,WI,USA,USA,74,196,2015,6,168,20192020,N,Playoffs
Joel Armia,20242025,MTL,R,R,5,0,2,2,2,2,0.4,0,2,0,0,0,0,0,0,4,--,12:24,--,1993-05-31,Pori,--,FIN,FIN,75,215,2011,1,16,20172018,N,Playoffs
Viktor Arvidsson,20242025,EDM,R,L,15,2,5,7,3,6,0.47,2,7,0,0,0,0,0,0,24,8.3,11:36,37.5,1993-04-08,Skelleftea,--,SWE,SWE,70,181,2014,4,112,20152016,N,Playoffs
Uvis Balinskis,20242025,FLA,L,D,5,1,0,1,4,2,0.2,1,1,0,0,0,0,0,0,4,25,12:35,--,1996-08-01,Ventspils,--,LVA,LVA,72,196,--,--,--,20242025,N,Playoffs
Ivan Barbashev,20242025,VGK,L,L,11,1,1,2,-9,6,0.18,1,1,0,1,0,0,1,1,14,7.1,17:30,63.6,1995-12-14,Moscow,--,RUS,RUS,72,203,2014,2,33,20162017,N,Playoffs
Aleksander Barkov,20242025,FLA,L,C,23,6,16,22,4,4,0.96,4,14,2,8,0,0,0,0,45,13.3,20:29,58.3,1995-09-02,Tampere,--,FIN,FIN,75,214,2013,1,2,20152016,N,Playoffs
Morgan Barron,20242025,WPG,L,C,13,0,2,2,-6,2,0.15,0,2,0,0,0,0,0,0,13,--,12:02,46.5,1998-12-02,Halifax,NS,CAN,CAN,76,220,2017,6,174,20222023,N,Playoffs
Nathan Bastian,20242025,NJD,R,R,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,--,11:36,--,1997-12-06,Kitchener,ON,CAN,CAN,76,217,2016,2,41,20222023,N,Playoffs
Drake Batherson,20242025,OTT,R,R,6,1,1,2,-4,10,0.33,1,1,0,1,0,0,0,0,9,11.1,17:29,50,1998-04-27,Fort Wayne,IN,USA,CAN,75,209,2017,4,121,20242025,N,Playoffs
Anthony Beauvillier,20242025,WSH,L,L,10,2,4,6,1,2,0.6,2,6,0,0,0,0,0,0,21,9.5,13:03,--,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,181,2015,1,28,20182019,N,Playoffs
Jamie Benn,20242025,DAL,L,L,18,1,2,3,-11,26,0.17,0,1,1,2,0,0,0,0,25,4,13:06,45.6,1989-07-18,Victoria,BC,CAN,CAN,75,210,2007,5,129,20132014,N,Playoffs
Sam Bennett,20242025,FLA,L,C,23,15,7,22,6,48,0.96,11,18,4,4,0,0,0,1,69,21.7,17:34,39,1996-06-20,Holland Landing,ON,CAN,CAN,73,193,2014,1,4,20142015,N,Playoffs
Simon Benoit,20242025,TOR,L,D,13,1,1,2,-3,10,0.15,1,2,0,0,0,0,1,1,11,9.1,18:23,--,1998-09-19,Laval,QC,CAN,CAN,76,210,--,--,--,20232024,N,Playoffs
Lian Bichsel,20242025,DAL,L,D,18,0,1,1,0,28,0.06,0,1,0,0,0,0,0,0,12,--,11:47,--,2004-05-18,Olten,--,CHE,CHE,79,237,2022,1,18,20242025,N,Playoffs
Colin Blackwell,20242025,DAL,R,C,11,1,0,1,-5,6,0.09,1,1,0,0,0,0,1,1,16,6.3,11:02,49.1,1993-03-28,North Andover,MA,USA,USA,68,181,2011,7,194,20212022,N,Playoffs
Jackson Blake,20242025,CAR,R,R,15,3,3,6,0,16,0.4,1,4,2,2,0,0,0,0,26,11.5,16:55,30,2003-08-03,Fargo,ND,USA,USA,71,185,2021,4,109,20242025,N,Playoffs
Zach Bogosian,20242025,MIN,R,D,6,0,1,1,1,0,0.17,0,0,0,0,0,1,0,0,2,--,13:00,--,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20192020,N,Playoffs
Zachary Bolduc,20242025,STL,L,R,7,0,1,1,-1,16,0.14,0,1,0,0,0,0,0,0,7,--,13:17,--,2003-02-24,Trois-Rivières,QC,CAN,CAN,72,187,2021,1,17,20242025,N,Playoffs
Matt Boldy,20242025,MIN,L,L,6,5,2,7,0,2,1.17,5,6,0,1,0,0,0,1,20,25,25:01,20,2001-04-05,Milford,MA,USA,USA,74,201,2019,1,12,20212022,N,Playoffs
Jesper Boqvist,20242025,FLA,L,C,13,2,3,5,1,0,0.38,2,5,0,0,0,0,0,0,7,28.6,9:33,40,1998-10-30,Falun,--,SWE,SWE,73,191,2017,2,36,20222023,N,Playoffs
Evan Bouchard,20242025,EDM,R,D,22,7,16,23,6,8,1.05,5,17,2,6,0,0,0,1,70,10,26:12,--,1999-10-20,Oakville,ON,CAN,CAN,75,192,2018,1,10,20212022,N,Playoffs
Mavrik Bourque,20242025,DAL,R,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,8,--,10:32,30,2002-01-08,Plessisville,QC,CAN,CAN,71,187,2020,1,30,20232024,N,Playoffs
Jesper Bratt,20242025,NJD,L,L,5,1,2,3,-5,0,0.6,1,3,0,0,0,0,0,0,20,5,23:23,--,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,Playoffs
Justin Brazeau,20242025,MIN,R,R,6,0,2,2,1,0,0.33,0,2,0,0,0,0,0,0,2,--,7:57,--,1998-02-02,New Liskeard,ON,CAN,CAN,78,232,--,--,--,20232024,N,Playoffs
Philip Broberg,20242025,STL,L,D,7,1,1,2,9,2,0.29,1,2,0,0,0,0,0,0,8,12.5,22:07,--,2001-06-25,Orebro,--,SWE,SWE,76,210,2019,1,8,20212022,N,Playoffs
Jonas Brodin,20242025,MIN,L,D,6,0,1,1,-1,0,0.17,0,1,0,0,0,0,0,0,4,--,24:48,--,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,Playoffs
Connor Brown,20242025,EDM,R,R,20,5,4,9,1,2,0.45,5,9,0,0,0,0,0,0,27,18.5,15:41,53.3,1994-01-14,Toronto,ON,CAN,CAN,72,184,2012,6,156,20162017,N,Playoffs
