Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Noel Acciari,20212022,FLA,R,C,9,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,3,0,9:55,44.8,1991-12-01,Johnston,RI,USA,USA,71,209,--,--,--,20162017,N,Playoffs
Sebastian Aho,20212022,CAR,L,C,14,4,7,11,0,12,0.79,3,8,1,2,0,1,0,1,32,12.5,19:12,50.9,1997-07-26,Rauma,--,FIN,FIN,72,180,2015,2,35,20182019,N,Playoffs
Mikey Anderson,20212022,LAK,L,D,7,0,1,1,-5,4,0.14,0,1,0,0,0,0,0,0,7,0,19:49,--,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20212022,N,Playoffs
Rasmus Andersson,20212022,CGY,R,D,12,3,3,6,-10,23,0.5,1,4,1,1,1,1,0,1,23,13,21:56,--,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20182019,N,Playoffs
Josh Archibald,20212022,EDM,R,R,13,0,1,1,-5,4,0.08,0,1,0,0,0,0,0,0,9,0,9:27,57.1,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20162017,N,Playoffs
Andreas Athanasiou,20212022,LAK,L,C,6,1,0,1,-5,4,0.17,1,1,0,0,0,0,0,0,8,12.5,14:21,25,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,Playoffs
Nicolas Aube-Kubel,20212022,COL,R,R,14,0,0,0,2,4,0,0,0,0,0,0,0,0,0,16,0,10:22,33.3,1996-05-10,Slave Lake,AB,CAN,CAN,72,213,2014,2,48,20192020,N,Playoffs
Mikael Backlund,20212022,CGY,L,C,12,5,3,8,6,8,0.67,5,8,0,0,0,0,0,0,33,15.2,19:33,53.9,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20142015,N,Playoffs
Nicklas Backstrom,20212022,WSH,L,C,6,2,4,6,1,4,1,1,4,1,2,0,0,0,0,16,12.5,18:00,35.1,1987-11-23,Gavle,--,SWE,SWE,73,202,2006,1,4,20072008,N,Playoffs
Ivan Barbashev,20212022,STL,L,C,12,0,2,2,-6,4,0.17,0,2,0,0,0,0,0,0,13,0,13:26,36.8,1995-12-14,Moscow,--,RUS,RUS,72,203,2014,2,33,20162017,N,Playoffs
Aleksander Barkov,20212022,FLA,L,C,10,2,5,7,3,4,0.7,2,6,0,1,0,0,0,1,38,5.3,21:57,55.6,1995-09-02,Tampere,--,FIN,FIN,75,214,2013,1,2,20152016,N,Playoffs
Tyson Barrie,20212022,EDM,R,D,16,1,4,5,2,10,0.31,1,2,0,3,0,0,0,1,28,3.6,18:18,--,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20132014,N,Playoffs
Pierre-Edouard Bellemare,20212022,TBL,L,L,23,2,1,3,0,6,0.13,2,3,0,0,0,0,0,1,17,11.8,10:43,51.8,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20152016,N,Playoffs
Jamie Benn,20212022,DAL,L,L,7,1,1,2,1,6,0.29,1,2,0,0,0,0,0,0,14,7.1,17:22,46,1989-07-18,Victoria,BC,CAN,CAN,75,206,2007,5,129,20132014,N,Playoffs
Sam Bennett,20212022,FLA,L,C,10,1,2,3,1,12,0.3,1,3,0,0,0,0,0,0,29,3.5,16:46,49.4,1996-06-20,Holland Landing,ON,CAN,CAN,73,193,2014,1,4,20142015,N,Playoffs
Matthew Benning,20212022,NSH,R,D,3,0,1,1,-2,0,0.33,0,1,0,0,0,0,0,0,4,0,14:30,--,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,Playoffs
Patrice Bergeron,20212022,BOS,R,C,7,3,4,7,3,4,1,2,5,1,2,0,0,0,0,34,8.8,18:12,52.8,1985-07-24,L'Ancienne-Lorette,QC,CAN,CAN,73,196,2003,2,45,20032004,N,Playoffs
Colin Blackwell,20212022,TOR,R,C,7,1,1,2,-2,0,0.29,1,2,0,0,0,0,0,0,7,14.3,7:12,35.7,1993-03-28,North Andover,MA,USA,USA,68,190,2011,7,194,20212022,N,Playoffs
Teddy Blueger,20212022,PIT,L,C,7,0,1,1,0,2,0.14,0,1,0,0,0,0,0,0,8,0,14:07,68.8,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,Playoffs
Zach Bogosian,20212022,TBL,R,D,22,0,3,3,0,4,0.14,0,3,0,0,0,0,0,0,20,0,12:34,--,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20192020,N,Playoffs
Matt Boldy,20212022,MIN,L,L,6,1,0,1,-1,4,0.17,1,1,0,0,0,0,0,0,13,7.7,13:19,75,2001-04-05,Milford,MA,USA,USA,74,201,2019,1,12,20212022,N,Playoffs
Mark Borowiecki,20212022,NSH,L,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,15:47,--,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20142015,N,Playoffs
Robert Bortuzzo,20212022,STL,R,D,10,0,0,0,-1,6,0,0,0,0,0,0,0,0,0,2,0,10:38,--,1989-03-18,Thunder Bay,ON,CAN,CAN,76,206,2007,3,78,20132014,N,Playoffs
Evan Bouchard,20212022,EDM,R,D,16,3,6,9,-4,4,0.56,2,6,1,3,0,0,0,0,39,7.7,18:08,--,1999-10-20,Oakville,ON,CAN,CAN,75,192,2018,1,10,20212022,N,Playoffs
Brian Boyle,20212022,PIT,L,C,6,0,2,2,-1,0,0.33,0,2,0,0,0,0,0,0,10,0,10:15,50,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20102011,N,Playoffs
Tyler Bozak,20212022,STL,R,C,12,2,0,2,-1,0,0.17,2,2,0,0,0,0,1,1,10,20,9:41,56.4,1986-03-19,Regina,SK,CAN,CAN,73,187,--,--,--,20122013,N,Playoffs
Derick Brassard,20212022,EDM,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,8:12,0,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,1,6,20122013,N,Playoffs
Justin Braun,20212022,NYR,R,D,19,0,1,1,0,6,0.05,0,1,0,0,0,0,0,0,7,0,12:41,--,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,Playoffs
Philip Broberg,20212022,EDM,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,3:16,--,2001-06-25,Orebro,--,SWE,SWE,76,212,2019,1,8,20212022,N,Playoffs
TJ Brodie,20212022,TOR,L,D,7,0,2,2,5,6,0.29,0,1,0,0,0,1,0,0,3,0,22:47,--,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20142015,N,Playoffs
Jonas Brodin,20212022,MIN,L,D,6,1,2,3,-2,2,0.5,1,2,0,1,0,0,0,0,11,9.1,22:55,--,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,Playoffs
Jonny Brodzinski,20212022,NYR,R,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,10:39,57.1,1993-06-19,Ham Lake,MN,USA,USA,72,211,2013,5,148,20212022,N,Playoffs
Dustin Brown,20212022,LAK,R,R,7,0,2,2,-2,0,0.29,0,2,0,0,0,0,0,0,19,0,12:39,0,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,1,13,20092010,N,Playoffs
Joshua Brown,20212022,BOS,R,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,--,12:52,--,1994-01-21,London,ON,CAN,CAN,77,220,2013,6,152,20192020,N,Playoffs
Pavel Buchnevich,20212022,STL,L,L,12,1,10,11,-3,6,0.92,0,9,1,2,0,0,0,0,22,4.6,18:55,55.6,1995-04-17,Cherepovets,--,RUS,RUS,73,196,2013,3,75,20162017,N,Playoffs
Michael Bunting,20212022,TOR,L,L,6,1,2,3,-1,4,0.5,1,2,0,1,0,0,0,0,6,16.7,15:07,--,1995-09-17,Scarborough,ON,CAN,CAN,72,186,2014,4,117,20212022,N,Playoffs
Andre Burakovsky,20212022,COL,L,L,12,3,5,8,3,2,0.67,3,7,0,1,0,0,1,1,13,23.1,12:25,0,1995-02-09,Klagenfurt,--,AUT,SWE,75,203,2013,1,23,20142015,N,Playoffs
Quinton Byfield,20212022,LAK,L,R,2,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,1,0,7:48,46.2,2002-08-19,Newmarket,ON,CAN,CAN,77,225,2020,1,2,20212022,N,Playoffs
Bowen Byram,20212022,COL,L,D,20,0,9,9,15,10,0.45,0,8,0,1,0,0,0,0,44,0,19:22,--,2001-06-13,Cranbrook,BC,CAN,CAN,73,205,2019,1,4,20212022,N,Playoffs
Brandon Carlo,20212022,BOS,R,D,7,0,1,1,-5,6,0.14,0,1,0,0,0,0,0,0,4,0,18:17,--,1996-11-26,Colorado Springs,CO,USA,USA,77,220,2015,2,37,20182019,N,Playoffs
John Carlson,20212022,WSH,R,D,6,1,4,5,-5,2,0.83,1,1,0,4,0,0,0,0,12,8.3,24:36,--,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,Playoffs
Alexandre Carrier,20212022,NSH,R,D,4,0,3,3,-1,2,0.75,0,2,0,1,0,0,0,0,4,0,21:22,--,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,4,115,20202021,N,Playoffs
Jeff Carter,20212022,PIT,R,C,7,4,1,5,-6,6,0.71,3,3,1,2,0,0,0,0,23,17.4,17:26,63.3,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,Playoffs
Cody Ceci,20212022,EDM,R,D,16,1,6,7,4,12,0.44,1,7,0,0,0,0,0,1,23,4.4,20:18,--,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20142015,N,Playoffs
Erik Cernak,20212022,TBL,R,D,23,1,1,2,1,12,0.09,1,2,0,0,0,0,0,1,22,4.6,19:20,--,1997-05-28,Kosice,--,SVK,SVK,76,230,2015,2,43,20182019,N,Playoffs
Ben Chiarot,20212022,FLA,L,D,10,0,1,1,-1,8,0.1,0,1,0,0,0,0,0,0,17,0,17:17,--,1991-05-09,Hamilton,ON,CAN,CAN,75,224,2009,4,120,20142015,N,Playoffs
Filip Chytil,20212022,NYR,L,C,20,7,2,9,-2,4,0.45,6,8,1,1,0,0,0,3,45,15.6,13:24,34.9,1999-09-05,Kromeriz,--,CZE,CZE,74,210,2017,1,21,20192020,N,Playoffs
Anthony Cirelli,20212022,TBL,L,C,23,3,5,8,1,8,0.35,2,6,0,1,1,1,0,0,44,6.8,19:16,44.7,1997-07-15,Etobicoke,ON,CAN,CAN,73,191,2015,3,72,20172018,N,Playoffs
Kyle Clifford,20212022,TOR,L,L,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,--,0:49,--,1991-01-13,Ayr,ON,CAN,CAN,74,218,2009,2,35,20102011,N,Playoffs
Connor Clifton,20212022,BOS,R,D,7,1,1,2,1,8,0.29,1,2,0,0,0,0,0,0,10,10,17:07,--,1995-04-28,Matawan,NJ,USA,USA,71,195,2013,5,133,20182019,N,Playoffs
Andrew Cogliano,20212022,COL,L,C,16,3,3,6,5,16,0.38,2,4,0,0,1,2,0,2,16,18.8,9:42,100,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20122013,N,Playoffs
Ian Cole,20212022,CAR,L,D,14,1,1,2,2,10,0.14,1,2,0,0,0,0,1,1,9,11.1,14:38,--,1989-02-21,Ann Arbor,MI,USA,USA,73,237,2007,1,18,20112012,N,Playoffs
Blake Coleman,20212022,CGY,L,C,12,2,3,5,5,12,0.42,2,5,0,0,0,0,0,0,33,6.1,14:48,60,1991-11-28,Plano,TX,USA,USA,71,199,2011,3,75,20172018,N,Playoffs
Ross Colton,20212022,TBL,L,C,23,5,4,9,-2,13,0.39,3,7,2,2,0,0,0,2,39,12.8,13:08,43.6,1996-09-11,Robbinsville,NJ,USA,USA,72,194,2016,4,118,20202021,N,Playoffs
J.T. Compher,20212022,COL,R,L,20,5,3,8,-1,10,0.4,4,7,1,1,0,0,0,1,26,19.2,13:41,47.1,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20172018,N,Playoffs
Andrew Copp,20212022,NYR,L,C,20,6,8,14,-2,2,0.7,5,10,0,3,1,1,0,0,41,14.6,19:49,44.4,1994-07-08,Ann Arbor,MI,USA,USA,73,203,2013,4,104,20172018,N,Playoffs
Nick Cousins,20212022,NSH,L,C,3,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,--,12:22,0,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20152016,N,Playoffs
Charlie Coyle,20212022,BOS,R,C,7,2,4,6,-7,2,0.86,0,2,1,3,1,1,0,0,10,20,16:51,41.7,1992-03-02,East Weymouth,MA,USA,USA,75,215,2010,1,28,20122013,N,Playoffs
Sidney Crosby,20212022,PIT,L,C,6,2,8,10,2,2,1.67,1,8,1,2,0,0,0,0,22,9.1,20:26,53.3,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20062007,N,Playoffs
Phillip Danault,20212022,LAK,L,C,7,3,2,5,6,2,0.71,1,3,2,2,0,0,0,1,11,27.3,20:43,51.5,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20162017,N,Playoffs
Tony DeAngelo,20212022,CAR,R,D,14,1,9,10,0,12,0.71,0,4,1,6,0,0,0,1,28,3.6,21:31,--,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20192020,N,Playoffs
Jake DeBrusk,20212022,BOS,L,L,7,2,2,4,-7,2,0.57,1,1,1,2,0,1,0,0,14,14.3,16:47,0,1996-10-17,Edmonton,AB,CAN,CAN,73,198,2015,1,14,20172018,N,Playoffs
Ty Dellandrea,20212022,DAL,R,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19:15,50,2000-07-21,Port Perry,ON,CAN,CAN,74,190,2018,1,13,20212022,N,Playoffs
Nicolas Deslauriers,20212022,MIN,L,L,5,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,2,0,8:12,--,1991-02-22,LaSalle,QC,CAN,CAN,73,218,2009,3,84,20212022,N,Playoffs
Connor Dewar,20212022,MIN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10:39,50,1999-06-26,The Pas,MB,CAN,CAN,70,192,2018,3,92,20212022,N,Playoffs
Max Domi,20212022,CAR,L,C,14,3,3,6,6,4,0.43,3,6,0,0,0,0,0,1,21,14.3,10:29,50,1995-03-02,Winnipeg,MB,CAN,CAN,70,209,2013,1,12,20192020,N,Playoffs
Nic Dowd,20212022,WSH,R,C,6,1,1,2,-3,4,0.33,1,2,0,0,0,0,0,0,8,12.5,12:10,51.4,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,7,198,20182019,N,Playoffs
