Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Rodrigo Abols,20252026,PHI,L,C,42,3,7,10,-1,22,0.24,2,8,0,0,1,2,0,0,43,7,10:30,52.1,1996-01-05,Riga,--,LVA,LVA,76,206,2016,7,184,20242025,N,Regular Season
Noel Acciari,20252026,PIT,R,C,67,13,12,25,14,25,0.37,13,25,0,0,0,0,0,1,93,14,13:42,52,1991-12-01,Johnston,RI,USA,USA,71,204,--,--,--,20152016,N,Regular Season
Andrew Agozzino,20252026,UTA,L,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,6:08,42.9,1991-01-03,Kleinburg,ON,CAN,CAN,70,187,--,--,--,20142015,N,Regular Season
Jack Ahcan,20252026,COL,L,D,11,0,2,2,2,2,0.18,0,2,0,0,0,0,0,0,8,--,11:32,--,1997-05-18,Savage,MN,USA,USA,68,180,--,--,--,20202021,N,Regular Season
Sebastian Aho,20252026,CAR,L,C,79,27,53,80,11,46,1.01,18,47,7,27,2,6,2,4,195,13.8,19:37,50.5,1997-07-26,Rauma,--,FIN,FIN,72,189,2015,2,35,20162017,N,Regular Season
Marek Alscher,20252026,FLA,L,D,4,0,3,3,4,0,0.75,0,3,0,0,0,0,0,0,6,--,20:22,--,2004-04-07,Slany,--,CZE,CZE,75,206,2022,3,93,20252026,N,Regular Season
Michael Amadio,20252026,OTT,R,R,81,15,20,35,13,18,0.43,15,34,0,0,0,1,0,2,96,15.6,16:07,36.8,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,206,2014,3,90,20172018,N,Regular Season
Nils Aman,20252026,VAN,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,--,8:40,50,2000-02-07,Avesta,--,SWE,SWE,74,179,2020,6,167,20222023,N,Regular Season
Josh Anderson,20252026,MTL,R,R,72,14,9,23,-4,90,0.32,12,19,0,0,2,4,0,1,89,15.7,14:01,69.7,1994-05-07,Burlington,ON,CAN,CAN,75,226,2012,4,95,20142015,N,Regular Season
Mikey Anderson,20252026,LAK,L,D,80,4,16,20,8,22,0.25,4,20,0,0,0,0,0,1,61,6.6,20:34,--,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20192020,N,Regular Season
Rasmus Andersson,20252026,"CGY,VGK",R,D,81,17,30,47,4,71,0.58,10,33,6,13,1,1,0,0,178,9.6,23:12,--,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,Regular Season
Emil Andrae,20252026,PHI,L,D,61,2,11,13,15,22,0.21,2,12,0,1,0,0,0,0,36,5.6,15:20,66.7,2002-02-23,Vastervik,--,SWE,SWE,69,189,2020,2,54,20232024,N,Regular Season
Mason Appleton,20252026,DET,R,C,65,6,8,14,-4,44,0.22,6,13,0,0,0,1,0,2,63,9.5,13:31,27.3,1996-01-15,Green Bay,WI,USA,USA,74,196,2015,6,168,20182019,N,Regular Season
Joel Armia,20252026,LAK,R,R,67,13,12,25,1,30,0.37,8,19,1,1,4,5,0,1,92,14.1,14:04,37.4,1993-05-31,Pori,--,FIN,FIN,75,215,2011,1,16,20142015,N,Regular Season
