Team,Season,GP,W,L,T,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Game Type
Boston Bruins,20212022,7,3,4,--,6,0.429,3,3,0,20,24,2.86,3.43,20.7,86.1,20.7,88.9,32.4,29.4,48.9,Playoffs
Calgary Flames,20212022,12,5,7,--,10,0.417,4,5,0,35,39,2.92,3.25,12.2,86.4,9.8,88.6,39.7,30.4,51.9,Playoffs
Carolina Hurricanes,20212022,14,7,7,--,14,0.5,6,7,0,37,40,2.64,2.86,13,74,11.1,78,31.5,29.3,55.6,Playoffs
Colorado Avalanche,20212022,20,16,4,--,32,0.8,11,16,0,85,55,4.25,2.75,32.8,80.4,32.8,83.9,39.1,27.9,47.8,Playoffs
Dallas Stars,20212022,7,3,4,--,6,0.429,3,3,0,14,15,2,2.14,8.3,91.7,8.3,91.7,27.9,41,52.4,Playoffs
Edmonton Oilers,20212022,16,8,8,--,16,0.5,7,8,0,65,59,4.06,3.69,26,82.5,24,87.7,34,38.9,48.6,Playoffs
Florida Panthers,20212022,10,4,6,--,8,0.4,2,4,0,23,32,2.3,3.2,3.2,71.8,3.2,71.8,35.3,30.8,52.4,Playoffs
Los Angeles Kings,20212022,7,3,4,--,6,0.429,2,3,0,17,27,2.43,3.86,12.5,63.2,4.2,63.2,37.3,35.6,49.3,Playoffs
Minnesota Wild,20212022,6,2,4,--,4,0.333,2,2,0,16,22,2.67,3.67,16.7,69.2,16.7,69.2,31,31.3,48.2,Playoffs
Nashville Predators,20212022,4,0,4,--,0,0,0,0,0,9,21,2.25,5.25,23.1,56.3,15.4,56.3,28,44,49.6,Playoffs
New York Rangers,20212022,20,10,10,--,20,0.5,9,10,0,62,58,3.1,2.9,32.1,80,26.8,83.6,31.3,37.8,44,Playoffs
Pittsburgh Penguins,20212022,7,3,4,--,6,0.429,2,3,0,29,28,4.14,4,26.1,68.4,17.4,73.7,44.3,38.6,56.9,Playoffs
St. Louis Blues,20212022,12,6,6,--,12,0.5,5,6,0,40,38,3.33,3.17,30.8,81.1,30.8,81.1,28.8,34,51.5,Playoffs
Tampa Bay Lightning,20212022,23,14,9,--,28,0.609,13,14,0,67,61,2.91,2.65,19.8,78.1,16.1,79.5,31.1,32.8,49,Playoffs
Toronto Maple Leafs,20212022,7,3,4,--,6,0.429,3,3,0,24,23,3.43,3.29,14.3,78.8,10.7,84.9,30.9,30.7,56.6,Playoffs
Washington Capitals,20212022,6,2,4,--,4,0.333,2,2,0,19,20,3.17,3.33,29.2,100,29.2,100,30.3,33.2,46.7,Playoffs
