Player,Season,Team,S/C,GP,GS,W,L,T,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Frederik Andersen,20222023,CAR,L,9,9,5,3,--,245,227,18,0.927,1.83,590:18,0,0,0,0,0,1989-10-02,Herning,--,DNK,DNK,76,229,2012,3,87,20132014,N,Playoffs
Sergei Bobrovsky,20222023,FLA,L,19,18,12,6,--,639,585,54,0.915,2.78,1164:21,1,0,1,1,0,1988-09-20,Novokuznetsk,--,RUS,RUS,74,180,--,--,--,20102011,N,Playoffs
Laurent Brossoit,20222023,VGK,L,8,8,5,2,--,216,193,23,0.894,3.18,433:22,0,0,0,0,0,1993-03-23,Port Alberni,BC,CAN,CAN,75,203,2011,6,164,20162017,N,Playoffs
Jack Campbell,20222023,EDM,L,4,0,1,0,--,51,49,2,0.961,1.01,118:16,0,0,0,0,0,1992-01-09,Port Huron,MI,USA,USA,75,200,2010,1,11,20202021,N,Playoffs
Pheonix Copley,20222023,LAK,L,1,0,0,0,--,8,6,2,0.75,4.26,28:11,0,0,0,0,0,1992-01-18,North Pole,AK,USA,USA,76,205,--,--,--,20222023,N,Playoffs
Marc-Andre Fleury,20222023,MIN,L,2,1,0,1,--,37,30,7,0.811,5.48,76:41,0,0,0,0,0,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,1,1,20062007,N,Playoffs
Alexandar Georgiev,20222023,COL,L,7,7,3,4,--,210,192,18,0.914,2.6,415:22,0,0,0,0,0,1996-02-10,Ruse,--,BGR,RUS,73,178,--,--,--,20212022,N,Playoffs
Philipp Grubauer,20222023,SEA,L,14,14,7,7,--,422,381,41,0.903,2.99,822:42,0,0,0,0,0,1991-11-25,Rosenheim,--,DEU,DEU,73,188,2010,4,112,20142015,N,Playoffs
Filip Gustavsson,20222023,MIN,L,5,5,2,3,--,151,139,12,0.921,2.33,308:32,0,0,0,0,0,1998-06-07,Skelleftea,--,SWE,SWE,74,184,2016,2,55,20222023,N,Playoffs
Connor Hellebuyck,20222023,WPG,L,5,5,1,4,--,158,140,18,0.886,3.44,314:02,0,0,0,0,0,1993-05-19,Commerce,MI,USA,USA,76,207,2012,5,130,20172018,N,Playoffs
Adin Hill,20222023,VGK,L,16,14,11,4,--,488,455,33,0.932,2.17,913:20,2,0,0,0,2,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,3,76,20222023,N,Playoffs
Martin Jones,20222023,SEA,L,1,0,0,0,--,2,2,0,1,0,18:15,0,0,0,0,0,1990-01-10,North Vancouver,BC,CAN,CAN,77,203,--,--,--,20132014,N,Playoffs
Pyotr Kochetkov,20222023,CAR,L,1,0,0,1,--,22,18,4,0.818,6.14,39:07,0,0,0,0,0,1999-06-25,Penza,--,RUS,RUS,75,193,2019,2,36,20212022,N,Playoffs
Joonas Korpisalo,20222023,LAK,L,6,6,2,4,--,203,181,22,0.892,3.77,350:15,0,0,0,0,0,1994-04-28,Pori,--,FIN,FIN,75,199,2012,3,62,20192020,N,Playoffs
Alex Lyon,20222023,FLA,L,4,3,1,2,--,107,95,12,0.888,3.63,198:32,0,0,0,0,0,1992-12-09,Baudette,MN,USA,USA,73,196,--,--,--,20222023,N,Playoffs
Jake Oettinger,20222023,DAL,L,19,19,10,9,--,525,470,55,0.895,3.06,1077:46,1,0,0,0,0,1998-12-18,Lakeville,MN,USA,USA,78,224,2017,1,26,20192020,N,Playoffs
Antti Raanta,20222023,CAR,L,6,6,3,3,--,165,150,15,0.909,2.48,363:11,0,0,0,0,0,1989-05-12,Rauma,--,FIN,FIN,72,195,--,--,--,20152016,N,Playoffs
Ilya Samsonov,20222023,TOR,L,9,9,4,4,--,255,229,26,0.898,3.13,498:09,0,0,0,0,0,1997-02-22,Magnitogorsk,--,RUS,RUS,75,208,2015,1,22,20202021,N,Playoffs
Akira Schmid,20222023,NJD,L,9,8,4,4,--,229,211,18,0.921,2.35,459:46,2,0,0,0,0,2000-05-12,Bern,--,CHE,CHE,77,190,2018,5,136,20222023,N,Playoffs
Igor Shesterkin,20222023,NYR,L,7,7,3,4,--,203,189,14,0.931,1.96,427:38,0,0,0,0,2,1995-12-30,Moscow,--,RUS,RUS,73,195,2014,4,118,20192020,N,Playoffs
Stuart Skinner,20222023,EDM,L,12,12,5,6,--,325,287,38,0.883,3.68,618:57,0,0,0,0,2,1998-11-01,Edmonton,AB,CAN,CAN,76,230,2017,3,78,20222023,N,Playoffs
Ilya Sorokin,20222023,NYI,L,6,6,2,4,--,210,195,16,0.929,2.6,369:27,0,0,0,0,0,1995-08-04,Mezhdurechensk,--,RUS,RUS,76,211,2014,3,78,20202021,N,Playoffs
Jeremy Swayman,20222023,BOS,L,2,1,0,1,--,32,28,4,0.875,3.34,71:46,0,0,0,0,0,1998-11-24,Anchorage,AK,USA,USA,75,195,2017,4,111,20202021,N,Playoffs
Linus Ullmark,20222023,BOS,L,6,6,3,3,--,192,172,20,0.896,3.33,359:51,0,0,1,1,10,1993-07-31,Lugnvik,--,SWE,SWE,76,215,2012,6,163,20212022,N,Playoffs
Vitek Vanecek,20222023,NJD,L,7,4,1,3,--,120,99,21,0.825,4.64,271:36,0,0,1,1,0,1996-01-09,Havlickuv Brod,--,CZE,CZE,74,184,2014,2,39,20202021,N,Playoffs
Andrei Vasilevskiy,20222023,TBL,L,6,6,2,4,--,184,161,23,0.875,3.56,387:49,0,0,0,0,0,1994-07-25,Tyumen,--,RUS,RUS,76,228,2012,1,19,20142015,N,Playoffs
Scott Wedgewood,20222023,DAL,L,3,0,0,0,--,29,25,4,0.862,2.28,105:21,0,0,0,0,0,1992-08-14,Brampton,ON,CAN,CAN,74,201,2010,3,84,20222023,N,Playoffs
Joseph Woll,20222023,TOR,L,4,2,1,2,--,94,86,8,0.915,2.43,197:55,0,0,0,0,0,1998-07-12,Dardenne Prairie,MO,USA,USA,75,206,2016,3,62,20222023,N,Playoffs
