Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Wyatt Aamodt,20242025,COL,L,D,2,1,0,1,1,0,0.5,1,1,0,0,0,0,0,0,3,33.3,17:07,--,1997-11-22,Hermantown,MN,USA,USA,72,201,--,--,--,20242025,N,Regular Season
Rodrigo Abols,20242025,PHI,L,C,22,2,3,5,-10,4,0.23,2,5,0,0,0,0,0,0,25,8,9:11,58.4,1996-01-05,Riga,--,LVA,LVA,76,206,2016,7,184,20242025,N,Regular Season
Noel Acciari,20242025,PIT,R,C,79,5,7,12,-25,16,0.15,5,11,0,0,0,1,0,0,75,6.7,13:46,53.7,1991-12-01,Johnston,RI,USA,USA,71,204,--,--,--,20152016,N,Regular Season
Jack Ahcan,20242025,COL,L,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,--,15:48,--,1997-05-18,Savage,MN,USA,USA,68,180,--,--,--,20202021,N,Regular Season
Sebastian Aho,20242025,CAR,L,C,79,29,45,74,7,46,0.94,21,44,5,23,3,7,5,9,207,14,20:06,55.3,1997-07-26,Rauma,--,FIN,FIN,72,189,2015,2,35,20162017,N,Regular Season
Alexander Alexeyev,20242025,WSH,L,D,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,--,16:04,--,1999-11-15,St. Petersburg,--,RUS,RUS,76,230,2018,1,31,20212022,N,Regular Season
Nolan Allan,20242025,CHI,L,D,43,1,7,8,-13,16,0.19,1,8,0,0,0,0,0,0,17,5.9,15:08,--,2003-04-28,Saskatoon,SK,CAN,CAN,74,195,2021,1,32,20242025,N,Regular Season
Michael Amadio,20242025,OTT,R,R,72,11,16,27,12,18,0.38,10,26,1,1,0,0,0,2,85,12.9,14:06,51,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,206,2014,3,90,20172018,N,Regular Season
Nils Aman,20242025,VAN,L,C,19,1,5,6,-2,2,0.32,1,6,0,0,0,0,0,0,8,12.5,10:29,37.8,2000-02-07,Avesta,--,SWE,SWE,74,179,2020,6,167,20222023,N,Regular Season
Joey Anderson,20242025,CHI,R,R,18,0,1,1,-2,0,0.06,0,1,0,0,0,0,0,0,17,--,12:24,60,1998-06-19,Roseville,MN,USA,USA,72,207,2016,3,73,20182019,N,Regular Season
Josh Anderson,20242025,MTL,R,R,81,15,12,27,-2,90,0.33,14,26,0,0,1,1,0,1,109,13.8,14:19,59.2,1994-05-07,Burlington,ON,CAN,CAN,75,226,2012,4,95,20142015,N,Regular Season
Mikey Anderson,20242025,LAK,L,D,77,6,18,24,17,28,0.31,6,24,0,0,0,0,0,0,84,7.1,22:41,--,1999-05-25,Roseville,MN,USA,USA,72,195,2017,4,103,20192020,N,Regular Season
Jaret Anderson-Dolan,20242025,WPG,L,C,7,0,1,1,3,4,0.14,0,1,0,0,0,0,0,0,8,--,9:56,50,1999-09-12,Calgary,AB,CAN,CAN,71,200,2017,2,41,20182019,N,Regular Season
Rasmus Andersson,20242025,CGY,R,D,81,11,20,31,-38,60,0.38,8,22,3,9,0,0,0,1,163,6.7,23:59,--,1996-10-27,Malmo,--,SWE,SWE,73,202,2015,2,53,20162017,N,Regular Season
Emil Andrae,20242025,PHI,L,D,42,1,6,7,-5,16,0.17,1,4,0,3,0,0,0,0,52,1.9,17:21,--,2002-02-23,Vastervik,--,SWE,SWE,69,189,2020,2,54,20232024,N,Regular Season
Mason Appleton,20242025,WPG,R,C,71,10,12,22,7,22,0.31,10,21,0,1,0,0,0,3,107,9.3,14:50,45.5,1996-01-15,Green Bay,WI,USA,USA,74,196,2015,6,168,20182019,N,Regular Season
Joel Armia,20242025,MTL,R,R,81,11,18,29,-2,16,0.36,8,23,0,3,3,3,0,1,104,10.6,14:18,21.4,1993-05-31,Pori,--,FIN,FIN,75,215,2011,1,16,20142015,N,Regular Season
Viktor Arvidsson,20242025,EDM,R,L,67,15,12,27,-3,24,0.4,14,24,1,3,0,0,0,2,158,9.5,15:00,32.7,1993-04-08,Skelleftea,--,SWE,SWE,70,181,2014,4,112,20142015,N,Regular Season
Rasmus Asplund,20242025,FLA,L,C,6,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,2,--,7:56,60,1997-12-03,Filipstad,--,SWE,SWE,71,190,2016,2,33,20192020,N,Regular Season
Zach Aston-Reese,20242025,CBJ,L,L,79,6,11,17,-15,27,0.22,6,17,0,0,0,0,0,1,101,5.9,13:27,22.2,1994-08-10,Staten Island,NY,USA,USA,73,203,--,--,--,20172018,N,Regular Season
Andreas Athanasiou,20242025,CHI,L,C,8,1,0,1,-1,0,0.13,1,1,0,0,0,0,0,0,8,12.5,10:02,46.4,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,Regular Season
Cam Atkinson,20242025,TBL,R,R,39,4,5,9,-4,11,0.23,3,8,1,1,0,0,0,0,47,8.5,9:00,33.3,1989-06-05,Riverside,CT,USA,USA,68,178,2008,6,157,20112012,N,Regular Season
Nicolas Aube-Kubel,20242025,"BUF,NYR",R,R,22,1,1,2,-5,19,0.09,1,2,0,0,0,0,0,0,18,5.6,9:25,62.5,1996-05-10,Slave Lake,AB,CAN,CAN,72,213,2014,2,48,20182019,N,Regular Season
Mikael Backlund,20242025,CGY,L,C,76,15,17,32,4,32,0.42,13,25,1,6,1,1,0,3,175,8.6,18:44,48.4,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,Regular Season
Kevin Bahl,20242025,CGY,L,D,73,3,17,20,-6,35,0.27,2,19,1,1,0,0,0,0,82,3.7,21:23,--,2000-06-27,New Westminster,BC,CAN,CAN,78,230,2018,2,55,20202021,N,Regular Season
